"areaCode","age","population"
"E06000001","00_04",5147
"E06000001","00_59",69434
"E06000001","05_09",5774
"E06000001","10_14",5982
"E06000001","15_19",5126
"E06000001","20_24",5162
"E06000001","25_29",6122
"E06000001","30_34",6163
"E06000001","35_39",5671
"E06000001","40_44",5055
"E06000001","45_49",5635
"E06000001","50_54",6594
"E06000001","55_59",7003
"E06000001","60+",24402
"E06000001","60_64",6031
"E06000001","65_69",5172
"E06000001","70_74",5051
"E06000001","75_79",3154
"E06000001","80_84",2582
"E06000001","85_89",1564
"E06000001","90+",848
"E06000002","00_04",9431
"E06000002","00_59",109866
"E06000002","05_09",9840
"E06000002","10_14",9031
"E06000002","15_19",8267
"E06000002","20_24",10741
"E06000002","25_29",11124
"E06000002","30_34",10063
"E06000002","35_39",8639
"E06000002","40_44",7294
"E06000002","45_49",7920
"E06000002","50_54",8380
"E06000002","55_59",9136
"E06000002","60+",31419
"E06000002","60_64",8205
"E06000002","65_69",6772
"E06000002","70_74",6107
"E06000002","75_79",4246
"E06000002","80_84",3274
"E06000002","85_89",1931
"E06000002","90+",884
"E06000003","00_04",6954
"E06000003","00_59",96568
"E06000003","05_09",8289
"E06000003","10_14",7990
"E06000003","15_19",6952
"E06000003","20_24",7001
"E06000003","25_29",8183
"E06000003","30_34",8208
"E06000003","35_39",7697
"E06000003","40_44",6999
"E06000003","45_49",8072
"E06000003","50_54",9849
"E06000003","55_59",10374
"E06000003","60+",40660
"E06000003","60_64",9372
"E06000003","65_69",8187
"E06000003","70_74",8589
"E06000003","75_79",6175
"E06000003","80_84",4500
"E06000003","85_89",2472
"E06000003","90+",1365
"E06000004","00_04",11077
"E06000004","00_59",148169
"E06000004","05_09",12921
"E06000004","10_14",13032
"E06000004","15_19",10749
"E06000004","20_24",9179
"E06000004","25_29",12792
"E06000004","30_34",13244
"E06000004","35_39",13214
"E06000004","40_44",11612
"E06000004","45_49",12338
"E06000004","50_54",13965
"E06000004","55_59",14046
"E06000004","60+",49250
"E06000004","60_64",12302
"E06000004","65_69",10498
"E06000004","70_74",9989
"E06000004","75_79",6732
"E06000004","80_84",5018
"E06000004","85_89",3121
"E06000004","90+",1590
"E06000005","00_04",5692
"E06000005","00_59",78486
"E06000005","05_09",6509
"E06000005","10_14",6674
"E06000005","15_19",5729
"E06000005","20_24",5322
"E06000005","25_29",6341
"E06000005","30_34",6669
"E06000005","35_39",6562
"E06000005","40_44",6412
"E06000005","45_49",7069
"E06000005","50_54",7776
"E06000005","55_59",7731
"E06000005","60+",28916
"E06000005","60_64",6785
"E06000005","65_69",5818
"E06000005","70_74",5992
"E06000005","75_79",4132
"E06000005","80_84",3226
"E06000005","85_89",1932
"E06000005","90+",1031
"E06000006","00_04",7374
"E06000006","00_59",97465
"E06000006","05_09",8387
"E06000006","10_14",8625
"E06000006","15_19",7114
"E06000006","20_24",6836
"E06000006","25_29",8181
"E06000006","30_34",8383
"E06000006","35_39",8385
"E06000006","40_44",7702
"E06000006","45_49",8548
"E06000006","50_54",8847
"E06000006","55_59",9083
"E06000006","60+",32294
"E06000006","60_64",8189
"E06000006","65_69",7453
"E06000006","70_74",7045
"E06000006","75_79",4222
"E06000006","80_84",2886
"E06000006","85_89",1707
"E06000006","90+",792
"E06000007","00_04",11267
"E06000007","00_59",157044
"E06000007","05_09",13001
"E06000007","10_14",12721
"E06000007","15_19",11239
"E06000007","20_24",10260
"E06000007","25_29",12328
"E06000007","30_34",13356
"E06000007","35_39",13686
"E06000007","40_44",12944
"E06000007","45_49",14693
"E06000007","50_54",15980
"E06000007","55_59",15569
"E06000007","60+",52353
"E06000007","60_64",12301
"E06000007","65_69",10637
"E06000007","70_74",10883
"E06000007","75_79",8069
"E06000007","80_84",5788
"E06000007","85_89",3094
"E06000007","90+",1581
"E06000008","00_04",10307
"E06000008","00_59",120280
"E06000008","05_09",11042
"E06000008","10_14",11055
"E06000008","15_19",9941
"E06000008","20_24",9267
"E06000008","25_29",9896
"E06000008","30_34",10132
"E06000008","35_39",10646
"E06000008","40_44",9199
"E06000008","45_49",9660
"E06000008","50_54",10004
"E06000008","55_59",9131
"E06000008","60+",29750
"E06000008","60_64",7764
"E06000008","65_69",6579
"E06000008","70_74",6234
"E06000008","75_79",3923
"E06000008","80_84",2944
"E06000008","85_89",1579
"E06000008","90+",727
"E06000009","00_04",7995
"E06000009","00_59",101009
"E06000009","05_09",8510
"E06000009","10_14",7944
"E06000009","15_19",7389
"E06000009","20_24",7643
"E06000009","25_29",8477
"E06000009","30_34",8476
"E06000009","35_39",7622
"E06000009","40_44",7308
"E06000009","45_49",8706
"E06000009","50_54",10440
"E06000009","55_59",10499
"E06000009","60+",37372
"E06000009","60_64",8939
"E06000009","65_69",7405
"E06000009","70_74",7769
"E06000009","75_79",5584
"E06000009","80_84",4068
"E06000009","85_89",2314
"E06000009","90+",1293
"E06000010","00_04",16575
"E06000010","00_59",205738
"E06000010","05_09",17170
"E06000010","10_14",15806
"E06000010","15_19",14286
"E06000010","20_24",20135
"E06000010","25_29",21262
"E06000010","30_34",20807
"E06000010","35_39",17435
"E06000010","40_44",14408
"E06000010","45_49",15441
"E06000010","50_54",16049
"E06000010","55_59",16364
"E06000010","60+",53388
"E06000010","60_64",13951
"E06000010","65_69",11608
"E06000010","70_74",10934
"E06000010","75_79",6887
"E06000010","80_84",5405
"E06000010","85_89",3114
"E06000010","90+",1489
"E06000011","00_04",15148
"E06000011","00_59",227660
"E06000011","05_09",18262
"E06000011","10_14",18984
"E06000011","15_19",16983
"E06000011","20_24",14015
"E06000011","25_29",15751
"E06000011","30_34",16393
"E06000011","35_39",17457
"E06000011","40_44",18325
"E06000011","45_49",22697
"E06000011","50_54",26155
"E06000011","55_59",27490
"E06000011","60+",115541
"E06000011","60_64",24910
"E06000011","65_69",23523
"E06000011","70_74",25872
"E06000011","75_79",17292
"E06000011","80_84",12766
"E06000011","85_89",7414
"E06000011","90+",3764
"E06000012","00_04",8863
"E06000012","00_59",116065
"E06000012","05_09",10122
"E06000012","10_14",10039
"E06000012","15_19",8512
"E06000012","20_24",7868
"E06000012","25_29",9638
"E06000012","30_34",10627
"E06000012","35_39",9414
"E06000012","40_44",8363
"E06000012","45_49",9960
"E06000012","50_54",11111
"E06000012","55_59",11548
"E06000012","60+",43299
"E06000012","60_64",10041
"E06000012","65_69",8853
"E06000012","70_74",8873
"E06000012","75_79",6219
"E06000012","80_84",4724
"E06000012","85_89",2972
"E06000012","90+",1617
"E06000013","00_04",8785
"E06000013","00_59",123940
"E06000013","05_09",10191
"E06000013","10_14",10874
