"areaCode","age","population"
"E06000001","0_4",5229
"E06000001","5_9",5923
"E06000001","10_14",5812
"E06000001","15_19",5167
"E06000001","20_24",5176
"E06000001","25_29",6103
"E06000001","30_34",6112
"E06000001","35_39",5575
"E06000001","40_44",4929
"E06000001","45_49",5905
"E06000001","50_54",6792
"E06000001","55_59",6808
"E06000001","60_64",5934
"E06000001","65_69",5167
"E06000001","70_74",4915
"E06000001","75_79",3105
"E06000001","80_84",2625
"E06000001","85_89",1556
"E06000001","90+",830
"E06000002","0_4",9583
"E06000002","5_9",9777
"E06000002","10_14",8744
"E06000002","15_19",8282
"E06000002","20_24",11118
"E06000002","25_29",11075
"E06000002","30_34",9704
"E06000002","35_39",8369
"E06000002","40_44",7303
"E06000002","45_49",8132
"E06000002","50_54",8713
"E06000002","55_59",8976
"E06000002","60_64",8106
"E06000002","65_69",6654
"E06000002","70_74",6007
"E06000002","75_79",4179
"E06000002","80_84",3373
"E06000002","85_89",1960
"E06000002","90+",925
"E06000003","0_4",7106
"E06000003","5_9",8295
"E06000003","10_14",7877
"E06000003","15_19",7006
"E06000003","20_24",7160
"E06000003","25_29",8252
"E06000003","30_34",8198
"E06000003","35_39",7597
"E06000003","40_44",6794
"E06000003","45_49",8485
"E06000003","50_54",10064
"E06000003","55_59",10245
"E06000003","60_64",9037
"E06000003","65_69",8273
"E06000003","70_74",8571
"E06000003","75_79",6012
"E06000003","80_84",4420
"E06000003","85_89",2437
"E06000003","90+",1321
"E06000004","0_4",11462
"E06000004","5_9",13044
"E06000004","10_14",12615
"E06000004","15_19",10559
"E06000004","20_24",9891
"E06000004","25_29",13102
"E06000004","30_34",13322
"E06000004","35_39",12917
"E06000004","40_44",11273
"E06000004","45_49",12852
"E06000004","50_54",13999
"E06000004","55_59",13919
"E06000004","60_64",11970
"E06000004","65_69",10522
"E06000004","70_74",9700
"E06000004","75_79",6580
"E06000004","80_84",5061
"E06000004","85_89",3069
"E06000004","90+",1491
"E06000005","0_4",5790
"E06000005","5_9",6592
"E06000005","10_14",6505
"E06000005","15_19",5606
"E06000005","20_24",5402
"E06000005","25_29",6282
"E06000005","30_34",6588
"E06000005","35_39",6591
"E06000005","40_44",6315
"E06000005","45_49",7264
"E06000005","50_54",7822
"E06000005","55_59",7507
"E06000005","60_64",6602
"E06000005","65_69",5863
"E06000005","70_74",5931
"E06000005","75_79",3980
"E06000005","80_84",3257
"E06000005","85_89",1842
"E06000005","90+",1064
"E06000006","0_4",7580
"E06000006","5_9",8483
"E06000006","10_14",8379
"E06000006","15_19",7040
"E06000006","20_24",6927
"E06000006","25_29",8133
"E06000006","30_34",8347
"E06000006","35_39",8302
"E06000006","40_44",7608
"E06000006","45_49",8811
"E06000006","50_54",8955
"E06000006","55_59",8912
"E06000006","60_64",8121
"E06000006","65_69",7511
"E06000006","70_74",6729
"E06000006","75_79",4185
"E06000006","80_84",2936
"E06000006","85_89",1670
"E06000006","90+",781
"E06000007","0_4",11596
"E06000007","5_9",13020
"E06000007","10_14",12601
"E06000007","15_19",11334
"E06000007","20_24",10619
"E06000007","25_29",12693
"E06000007","30_34",13457
"E06000007","35_39",13805
"E06000007","40_44",12843
"E06000007","45_49",15194
"E06000007","50_54",16101
"E06000007","55_59",15040
"E06000007","60_64",12066
"E06000007","65_69",10704
"E06000007","70_74",10839
"E06000007","75_79",7888
"E06000007","80_84",5615
"E06000007","85_89",2975
"E06000007","90+",1624
"E06000008","0_4",10575
"E06000008","5_9",11038
"E06000008","10_14",10959
"E06000008","15_19",9850
"E06000008","20_24",9348
"E06000008","25_29",9745
"E06000008","30_34",10222
"E06000008","35_39",10585
"E06000008","40_44",9060
"E06000008","45_49",9913
"E06000008","50_54",9938
"E06000008","55_59",9060
"E06000008","60_64",7629
"E06000008","65_69",6543
"E06000008","70_74",6014
"E06000008","75_79",3895
"E06000008","80_84",2923
"E06000008","85_89",1613
"E06000008","90+",786
"E06000009","0_4",8262
"E06000009","5_9",8459
"E06000009","10_14",7986
"E06000009","15_19",7356
"E06000009","20_24",7845
"E06000009","25_29",8796
"E06000009","30_34",8389
"E06000009","35_39",7676
"E06000009","40_44",7215
"E06000009","45_49",9244
"E06000009","50_54",10682
"E06000009","55_59",10260
"E06000009","60_64",8781
"E06000009","65_69",7398
"E06000009","70_74",7857
"E06000009","75_79",5511
"E06000009","80_84",4063
"E06000009","85_89",2314
"E06000009","90+",1352
"E06000010","0_4",16883
"E06000010","5_9",17256
"E06000010","10_14",15275
"E06000010","15_19",14055
"E06000010","20_24",20832
"E06000010","25_29",22439
"E06000010","30_34",20376
"E06000010","35_39",16986
"E06000010","40_44",14310
"E06000010","45_49",15752
"E06000010","50_54",16515
"E06000010","55_59",16267
"E06000010","60_64",13509
"E06000010","65_69",11627
"E06000010","70_74",10713
"E06000010","75_79",6864
"E06000010","80_84",5469
"E06000010","85_89",3125
"E06000010","90+",1525
"E06000011","0_4",15412
"E06000011","5_9",18189
"E06000011","10_14",18721
"E06000011","15_19",17058
"E06000011","20_24",14121
"E06000011","25_29",15395
"E06000011","30_34",16281
"E06000011","35_39",17423
"E06000011","40_44",18435
"E06000011","45_49",23313
"E06000011","50_54",26380
"E06000011","55_59",26780
"E06000011","60_64",24319
"E06000011","65_69",23858
"E06000011","70_74",25184
"E06000011","75_79",16679
"E06000011","80_84",12563
"E06000011","85_89",7276
"E06000011","90+",3786
"E06000012","0_4",9166
"E06000012","5_9",10260
"E06000012","10_14",9878
"E06000012","15_19",8310
"E06000012","20_24",7948
"E06000012","25_29",10035
"E06000012","30_34",10569
"E06000012","35_39",9289
"E06000012","40_44",8390
"E06000012","45_49",10315
"E06000012","50_54",11360
"E06000012","55_59",11400
"E06000012","60_64",9772
"E06000012","65_69",8824
"E06000012","70_74",8759
"E06000012","75_79",6092
"E06000012","80_84",4767
"E06000012","85_89",2830
"E06000012","90+",1599
"E06000013","0_4",8973
"E06000013","5_9",10392
"E06000013","10_14",10626
"E06000013","15_19",8983
"E06000013","20_24",8141
"E06000013","25_29",9893
"E06000013","30_34",10655
"E06000013","35_39",10427
"E06000013","40_44",9365
"E06000013","45_49",11228
"E06000013","50_54",12877
"E06000013","55_59",12789
"E06000013","60_64",11287
"E06000013","65_69",10440
"E06000013","70_74",9994
"E06000013","75_79",6817
"E06000013","80_84",4903
"E06000013","85_89",2827
"E06000013","90+",1675
"E06000014","0_4",9538
"E06000014","5_9",10813
"E06000014","10_14",10507
"E06000014","15_19",14086
"E06000014","20_24",23158
"E06000014","25_29",17148
"E06000014","30_34",13418
"E06000014","35_39",12342
"E06000014","40_44",11422
"E06000014","45_49",12674
"E06000014","50_54",13173
"E06000014","55_59",12766
"E06000014","60_64",10838
"E06000014","65_69",9866
"E06000014","70_74",10392
"E06000014","75_79",7143
"E06000014","80_84",5811
"E06000014","85_89",3409
"E06000014","90+",2114
"E06000015","0_4",16321
"E06000015","5_9",17722
"E06000015","10_14",16801
"E06000015","15_19",15760
"E06000015","20_24",18580
"E06000015","25_29",18573
"E06000015","30_34",18038
"E06000015","35_39",16669
"E06000015","40_44",14979
"E06000015","45_49",16241
"E06000015","50_54",17238
"E06000015","55_59",15463
"E06000015","60_64",12534
"E06000015","65_69",10971
"E06000015","70_74",10913
"E06000015","75_79",7813
"E06000015","80_84",6315
"E06000015","85_89",4013
"E06000015","90+",2358
"E06000016","0_4",24447
"E06000016","5_9",24703
"E06000016","10_14",22771
"E06000016","15_19",24256
"E06000016","20_24",39574
"E06000016","25_29",32594
"E06000016","30_34",25456
"E06000016","35_39",24009
"E06000016","40_44",20394
"E06000016","45_49",19492
"E06000016","50_54",19048
"E06000016","55_59",18476
"E06000016","60_64",15883
"E06000016","65_69",13487
"E06000016","70_74",10578
"E06000016","75_79",7314
"E06000016","80_84",5748
"E06000016","85_89",3742
"E06000016","90+",2252
"E06000017","0_4",1861
"E06000017","5_9",2011
"E06000017","10_14",2307
"E06000017","15_19",2445
"E06000017","20_24",1499
"E06000017","25_29",2102
"E06000017","30_34",2035
"E06000017","35_39",2165
"E06000017","40_44",2264
"E06000017","45_49",2666
"E06000017","50_54",2979
"E06000017","55_59",2874
"E06000017","60_64",2556
"E06000017","65_69",2598
