"areaCode","population"
"E02000001",9721
"E02000002",7735
"E02000003",11174
"E02000004",6687
"E02000005",10432
"E02000007",10048
"E02000008",12662
"E02000009",11829
"E02000010",9204
"E02000011",6994
"E02000012",11291
"E02000013",8948
"E02000014",9949
"E02000015",8190
"E02000016",10021
"E02000017",9275
"E02000018",9649
"E02000019",9174
"E02000020",13355
"E02000021",8944
"E02000022",8183
"E02000023",8024
"E02000024",11057
"E02000025",8347
"E02000026",6593
"E02000027",9638
"E02000028",6809
"E02000029",9451
"E02000030",9241
"E02000031",7856
"E02000032",7771
"E02000033",8903
"E02000034",9356
"E02000035",9077
"E02000036",11645
"E02000037",10552
"E02000038",11479
"E02000039",7255
"E02000040",8452
"E02000041",10034
"E02000042",12247
"E02000043",8206
"E02000044",8876
"E02000045",10945
"E02000046",7623
"E02000047",12422
"E02000048",10707
"E02000049",9476
"E02000050",11010
"E02000051",9872
"E02000052",10613
"E02000053",16685
"E02000054",7648
"E02000055",11994
"E02000056",9609
"E02000057",8165
"E02000058",10951
"E02000059",11873
"E02000060",12353
"E02000061",9175
"E02000062",7021
"E02000063",7955
"E02000064",6927
"E02000065",8951
"E02000066",10182
"E02000067",10454
"E02000068",8203
"E02000069",6911
"E02000070",8079
"E02000071",7646
"E02000072",13039
"E02000073",10859
"E02000074",8683
"E02000075",8221
"E02000077",8214
"E02000078",7922
"E02000079",8768
"E02000080",10338
"E02000081",8086
"E02000082",9228
"E02000083",11568
"E02000084",11081
"E02000085",8044
"E02000086",7281
"E02000087",8033
"E02000088",7798
"E02000089",7804
"E02000090",9483
"E02000091",9977
"E02000092",6783
"E02000093",11059
"E02000094",9277
"E02000095",9894
"E02000096",7454
"E02000097",9027
"E02000098",8347
"E02000099",8872
"E02000100",8725
"E02000101",9562
"E02000102",7577
"E02000103",9232
"E02000104",7255
"E02000105",9746
"E02000106",10694
"E02000107",11551
"E02000108",6556
"E02000109",13524
"E02000110",8578
"E02000111",10946
"E02000112",10530
"E02000113",9646
"E02000114",9968
"E02000115",8716
"E02000116",9407
"E02000117",12868
"E02000118",10445
"E02000119",9060
"E02000120",9247
"E02000121",10761
"E02000122",7710
"E02000123",15615
"E02000124",10006
"E02000125",10156
"E02000126",7760
"E02000127",9396
"E02000128",7763
"E02000130",8757
"E02000131",10687
"E02000132",10263
"E02000133",10620
"E02000134",12099
"E02000135",10690
"E02000136",5788
"E02000137",8539
"E02000138",8551
"E02000139",7992
"E02000140",8833
"E02000141",7449
"E02000142",8852
"E02000144",10024
"E02000145",9122
"E02000146",9624
"E02000147",8252
"E02000148",6749
"E02000149",8183
"E02000150",8703
"E02000151",7647
"E02000152",8003
"E02000153",7846
"E02000154",8517
"E02000155",6930
"E02000156",12217
"E02000157",8209
"E02000158",7863
"E02000159",6960
"E02000160",8028
"E02000161",8788
"E02000162",7003
"E02000163",7721
"E02000165",6977
"E02000166",9320
"E02000167",9684
"E02000168",9687
"E02000169",9771
"E02000170",9993
"E02000171",9513
"E02000172",12402
"E02000173",10230
"E02000174",10467
"E02000175",11701
"E02000176",7940
"E02000177",10458
"E02000178",10673
"E02000179",7596
"E02000180",10161
"E02000181",9486
"E02000182",9074
"E02000183",8885
"E02000184",10819
"E02000185",10191
"E02000186",8500
"E02000187",11598
"E02000188",9060
"E02000189",7227
"E02000190",8974
"E02000191",8885
"E02000192",8996
"E02000193",8738
"E02000194",9491
"E02000195",9872
"E02000196",8055
"E02000197",9642
"E02000198",8757
"E02000199",8342
"E02000200",8886
"E02000201",9274
"E02000202",8483
"E02000203",8106
"E02000204",9711
"E02000206",10224
"E02000207",9138
"E02000208",10944
"E02000209",8781
"E02000210",8454
"E02000211",8068
"E02000212",9367
"E02000213",11475
"E02000214",6217
"E02000215",11588
"E02000216",7096
"E02000217",12391
"E02000218",6606
"E02000219",7462
"E02000220",13392
"E02000221",10780
"E02000222",8338
"E02000223",8585
"E02000224",8092
"E02000225",7529
"E02000226",7527
"E02000227",11457
"E02000228",7783
"E02000229",6729
"E02000230",10618
"E02000231",7583
"E02000232",6267
"E02000233",6378
"E02000234",8948
"E02000235",6966
"E02000236",8136
"E02000237",7589
"E02000238",9364
"E02000239",8767
"E02000240",10041
"E02000241",6710
"E02000242",6824
"E02000243",8413
"E02000244",7520
"E02000245",8309
"E02000246",8545
"E02000247",10522
"E02000248",7738
"E02000249",7419
"E02000250",6225
"E02000251",7357
"E02000252",11666
"E02000253",9257
"E02000254",8385
"E02000255",9133
"E02000256",8885
"E02000257",14622
"E02000258",7030
"E02000259",5984
"E02000260",9423
"E02000261",12100
"E02000262",8797
"E02000263",12051
"E02000264",8452
"E02000265",10582
"E02000266",11525
"E02000267",7222
"E02000268",8913
"E02000269",7826
"E02000270",7845
"E02000271",6892
"E02000272",6434
"E02000274",14191
"E02000275",7578
"E02000276",6472
"E02000277",7670
"E02000278",9757
"E02000279",13062
"E02000280",8507
"E02000281",9221
"E02000282",9966
"E02000283",8854
"E02000284",8646
"E02000285",6423
"E02000286",8512
"E02000287",7197
"E02000288",11404
"E02000289",6549
"E02000290",6815
"E02000291",10283
"E02000292",9827
"E02000293",6451
"E02000294",9503
"E02000295",8947
"E02000296",10567
"E02000297",9586
"E02000298",8060
"E02000299",10162
"E02000300",9065
"E02000301",10907
"E02000302",8552
"E02000303",9179
"E02000304",8078
"E02000305",8966
"E02000306",9238
"E02000307",10080
"E02000308",8521
"E02000309",12410
"E02000311",10863
"E02000312",11774
"E02000313",7470
"E02000314",16074
"E02000315",9649
"E02000316",15129
"E02000317",8166
"E02000318",10520
"E02000319",11701
"E02000320",7330
"E02000321",7703
"E02000323",11331
"E02000324",7934
