"areaCode","population"
"E02002483",10332
"E02002484",10440
"E02002485",8165
"E02002487",5174
"E02002488",5894
"E02002489",7638
"E02002490",6182
"E02002491",6450
"E02002492",6895
"E02002493",6722
"E02002494",7828
"E02006909",12116
"E02002496",13462
"E02002497",5872
"E02002498",9916
"E02002499",7353
"E02002500",5961
"E02002501",5656
"E02002502",9102
"E02002503",6774
"E02002504",9822
"E02002505",6077
"E02002506",5569
"E02002507",5952
"E02002508",5050
"E02002509",5317
"E02002510",6075
"E02002512",5183
"E02002513",9356
"E02002514",8507
"E02006811",10281
"E02002515",6849
"E02002516",5843
"E02002517",5317
"E02002518",10792
"E02002519",7444
"E02002520",13028
"E02002521",6060
"E02002523",6619
"E02002524",5456
"E02002525",8085
"E02002526",7774
"E02002527",5106
"E02002529",5833
"E02002530",6359
"E02002532",6807
"E02002533",6329
"E02002534",5639
"E02006812",7551
"E02006910",10337
"E02002535",9255
"E02002536",9727
"E02002537",8579
"E02002538",5782
"E02002539",9707
"E02002540",5971
"E02002541",6056
"E02002542",8166
"E02002543",9233
"E02002544",8831
"E02002545",5110
"E02002546",7360
"E02002547",6159
"E02002548",13981
"E02002549",7308
"E02002550",6143
"E02002551",7041
"E02002552",7241
"E02002553",5883
"E02002554",5236
"E02002555",10040
"E02002556",7002
"E02002557",16588
"E02002558",11020
"E02002559",9419
"E02002560",6100
"E02002561",5230
"E02002562",5861
"E02002563",5363
"E02002564",9691
"E02002565",5043
"E02002566",6939
"E02002567",8987
"E02002568",5962
"E02002569",9032
"E02002570",7747
"E02002571",6535
"E02002572",6372
"E02002573",9121
"E02002574",8738
"E02002575",9675
"E02002576",7365
"E02002577",7552
"E02002578",8481
"E02002579",7929
"E02002580",8157
"E02002581",7263
"E02002582",9064
"E02002583",7693
"E02002584",7303
"E02002585",10678
"E02002586",9964
"E02002587",6490
"E02002588",7291
"E02002589",6116
"E02002590",7197
"E02002591",6375
"E02002592",6271
"E02002593",4963
"E02002594",5291
"E02002595",8285
"E02002596",7975
"E02002597",9284
"E02002598",10633
"E02002599",11115
"E02002600",8958
"E02002601",8733
"E02002602",8418
"E02002603",6779
"E02002604",7343
"E02002605",9003
"E02002606",11846
"E02002607",11560
"E02002608",8121
"E02002609",9713
"E02002610",12563
"E02002611",7787
"E02002612",9017
"E02002613",6529
"E02002614",5638
"E02002615",10468
"E02002616",8961
"E02002617",9245
"E02002618",7579
"E02002619",9119
"E02002620",9017
"E02002621",8607
"E02002622",10633
"E02002623",10451
"E02002624",8270
"E02002625",9741
"E02002626",7149
"E02002627",7646
"E02002628",6656
"E02002629",5666
"E02002630",6312
"E02002631",8420
"E02002632",6090
"E02002633",7629
"E02002634",7930
"E02002635",7898
"E02002636",8139
"E02002637",6019
"E02002638",5991
"E02002639",6105
"E02002640",6874
"E02002641",7929
"E02002642",7013
"E02002643",7528
"E02002644",7659
"E02002645",5932
"E02002646",6811
"E02002647",7883
"E02002648",7147
"E02002649",8043
"E02002650",8076
"E02002651",7775
"E02002652",15294
"E02002653",7878
"E02002654",8093
"E02002655",8643
"E02002656",4915
"E02002657",7129
"E02002658",6234
"E02002659",10762
"E02002660",6666
"E02002661",8149
"E02002662",6811
"E02002663",7276
"E02002664",6873
"E02002665",7873
"E02002666",8834
"E02002667",7087
"E02002668",8295
"E02002669",8213
"E02002670",7687
"E02002671",8935
"E02002672",7331
"E02002673",7393
"E02002674",6410
"E02002675",9191
"E02002676",7253
"E02002677",8165
"E02002678",8094
"E02002679",7407
"E02002680",9991
"E02002681",8964
"E02002682",9509
"E02006813",7771
"E02002684",9842
"E02002685",7762
"E02002686",8216
"E02002687",5976
"E02002688",5536
"E02002689",5762
"E02002691",8271
"E02002692",9362
"E02002693",7172
"E02002694",12552
"E02002695",8327
"E02002696",6064
"E02002697",7647
"E02002698",8605
"E02002699",9805
"E02002700",6332
"E02002701",8394
"E02002702",10053
"E02002703",8935
"E02002704",7138
"E02002705",6545
"E02002706",7256
"E02002707",7374
"E02002708",6569
"E02002709",7958
"E02002710",7469
"E02002711",7802
"E02002712",7462
"E02002714",7859
"E02002715",13567
"E02002716",8543
"E02002717",8008
"E02002718",8000
"E02002719",6486
"E02002720",7603
"E02002721",6519
"E02002722",8596
"E02002723",8854
"E02002724",9836
"E02002725",6810
"E02006814",8183
"E02006891",7776
"E02006892",6375
"E02002726",10417
"E02002727",5428
"E02002728",7848
"E02002729",5747
"E02002730",7549
"E02002731",6039
"E02002732",7907
"E02002733",5715
"E02002734",5430
"E02002735",5035
"E02002736",6060
"E02002737",7079
"E02002738",6852
"E02002739",5874
"E02002740",5481
"E02002741",8952
"E02002742",5522
"E02002743",5503
"E02002744",7276
"E02002745",7115
"E02002746",9862
"E02002747",8780
"E02002748",7893
"E02002749",11767
"E02002750",6322
"E02002751",6415
"E02002752",7129
"E02002753",8653
"E02002754",8349
"E02002755",8002
"E02002756",9810
"E02002757",6472
"E02002758",6336
"E02002759",9610
"E02002760",5919
"E02002761",6538
"E02002762",6702
"E02002763",8856
"E02002764",6046
"E02002765",6355
"E02002766",9074
"E02002767",6606
"E02002768",7729
"E02002769",5740
"E02002770",7098
"E02002771",7220
"E02002772",6943
"E02002773",5716
"E02002774",6053
"E02002775",5802
"E02002776",6808
"E02002777",8540
"E02002778",8324
"E02002779",9672
"E02002780",8712
"E02002781",11394
"E02002782",6311
"E02002783",10460
"E02002784",13932
"E02002785",8529
"E02002786",11237
"E02002787",9342
"E02002788",9065
"E02002789",9084
"E02002790",13285
"E02002791",6451
"E02002792",7938
"E02002793",9347
"E02002794",9778
"E02002795",8289
"E02002796",5977
"E02002797",7256
"E02002798",9655
"E02002799",5993
"E02002800",6960
"E02002801",7389
"E02002802",7851
"E02002803",8610
"E02002804",8717
"E02002805",5425
"E02002806",6312
"E02002807",8632
"E02002808",13142
"E02002809",6702
"E02002810",8484
"E02002811",11482
"E02002812",7567
"E02002813",11785
"E02002814",6912
"E02002815",8876
"E02002816",9476
"E02002817",6182
"E02002818",8584
"E02002819",7863
"E02002820",9594
"E02002821",12060
"E02002822",6630
"E02002823",7306
"E02002824",9883
"E02002825",8523
"E02002826",6986
"E02002827",6344
"E02002828",7568
"E02002829",11204
"E02002830",10069
"E02002831",6687
"E02002832",9223
"E02002833",8404
"E02002834",11737
"E02002835",14604
"E02002836",9644
"E02002837",8514
"E02002838",8015
"E02002839",7862
"E02002842",8592
"E02002843",14193
"E02002844",11531
"E02002845",10770
"E02002846",7039
"E02002847",10009
"E02002848",11193
"E02002849",14638
"E02002851",8258
"E02002852",6895
"E02002853",13199
"E02002854",8149
"E02002855",8066
"E02002856",11613
"E02002857",6694
"E02002858",6865
"E02002860",7757
"E02002861",7393
"E02002862",7923
"E02006815",10724
"E02006817",8844
"E02006819",8076
"E02006850",13594
"E02006851",12146
"E02002863",8087
"E02002864",8046
"E02002865",7955
"E02002866",7590
"E02002867",8798
"E02002868",5764
"E02002869",7574
"E02002871",7588
"E02002872",8754
"E02002873",9500
"E02002874",8300
"E02002875",8630
"E02002876",8150
"E02002877",7768
"E02002878",9661
"E02002879",9844
"E02002880",9102
"E02002881",6880
"E02002882",8618
"E02002883",7942
"E02002884",7120
"E02002885",9332
"E02002886",9782
"E02002887",6492
"E02002888",7619
"E02002889",13877
"E02002890",14483
"E02002891",8139
"E02002892",6096
"E02002893",16371
"E02002894",7050
"E02002895",8861
"E02002896",10631
"E02002897",8179
"E02002898",11275
"E02002899",11554
"E02002901",6146
"E02002902",9241
"E02002903",6184
"E02002904",6038
"E02006834",7495
"E02006904",13194
"E02006905",7864
"E02002905",6437
"E02002906",6056
"E02002907",6336
"E02002908",9004
"E02002909",10767
"E02002910",8275
"E02002911",9665
"E02002912",7947
"E02002913",5799
"E02002914",9386
"E02002915",7923
"E02002916",10144
"E02002917",7227
"E02002918",5945
"E02002919",9784
"E02002920",6851
"E02002921",8275
"E02002922",6889
"E02002923",9894
"E02002924",6322
"E02002925",11389
"E02002926",11205
"E02002927",12095
"E02002928",5924
"E02002929",6495
"E02002930",6472
"E02002931",6730
"E02002932",9187
"E02002933",7758
"E02002934",6009
"E02002935",6525
"E02002936",10804
"E02002937",10168
"E02002938",7340
"E02002939",7102
"E02002940",5820
"E02002941",10466
"E02002942",7465
"E02002943",15473
"E02002944",8322
"E02002945",9633
"E02002946",7640
"E02002947",7178
"E02002948",7626
"E02002949",5309
"E02002950",5876
"E02002951",7516
"E02002952",7534
"E02002953",7323
"E02002954",8156
"E02002955",7766
"E02002956",9167
"E02002957",9468
"E02002958",8241
"E02002959",9447
"E02002960",5705
"E02002961",7276
"E02002962",7314
"E02002963",7301
"E02002964",8406
"E02002965",8530
"E02002966",10194
"E02002967",10306
"E02002968",9455
"E02002969",9574
"E02002970",8135
"E02002971",4855
"E02002972",6271
"E02002973",8431
"E02002974",5969
"E02002975",6993
"E02002976",5972
"E02002977",5669
"E02002978",6808
"E02002979",6091
"E02002980",5931
"E02002981",8400
"E02002982",8138
"E02002983",4989
"E02002984",5291
"E02002985",6551
"E02002986",6587
"E02002987",5722
"E02002988",5700
"E02002989",5779
"E02002990",6124
"E02002991",11752
"E02002992",5948
"E02002993",7129
"E02002994",10586
